,Company,modelId,link,Name,URL,resolution,model_year,size_class,pixel_pitch,contrast_ratio,diagnol,brightness
0,LG,20M39H,,"LG 20M39H - 20 Inch Monitor (5ms Response Time, HD TN Panel, HDMI, D-sub)",pcpricetracker.in/gen/products/4f6d1c430918b5c1c1ca20dc3997add9,,,,,,,
1,LG,22MK600M,,"LG 22MK600M - 22 Inch Gaming Monitor (AMD FreeSync, 5ms Response Time, Frameless, FHD IPS Panel, HDMI, D-Sub)",pcpricetracker.in/gen/products/08d5b9dbb025960103535c3ec56ba73d,3840 x 2160 pixelsUltra HD (UHD) / 4K / 2160p,2018,21.5 in (inches),0.265 mm (millimeters),,48.4646 in (inches),300 cd/m² (candela per square meter)
2,LG,22MP68VQ,,"LG 22MP68VQ-P - 22 Inch Gaming Monitor (AMD FreeSync, 5ms Response Time, FHD IPS Panel, DVI, HDMI,  D-sub)",pcpricetracker.in/gen/products/bf76cfaae4109f1871251dacedbef24a,1920 x 1080 pixelsFull HD / 1080p,2018,21.5 in (inches),0.233 mm (millimeters),,23.7795 in (inches),350 cd/m² (candela per square meter)
3,LG,24BK750Y,,LG 24inch 24BK750Y-B Full HD IPS Monitor Workstation Monitor,pcpricetracker.in/gen/products/58183c0b743226fd09a4072bd999c19e,2560 x 1440 pixelsQuad HD (QHD) / 1440p,2018,23.8 in (inches),0.233 mm (millimeters),,31.5354 in (inches),450 cd/m² (candela per square meter)
4,LG,24GL600F,,"LG UltraGear 24GL600F-B - 24 Inch Gaming Monitor (AMD FreeSync, 1ms Responce Time, 144Hz Refresh Rate, FHD TN Panel, HDMI, Displayport)",pcpricetracker.in/gen/products/1b7d0597eea0cf69b69454597de550d3,3840 x 2160 pixelsUltra HD (UHD) / 4K / 2160p,2018,23.6 in (inches),0.285 mm (millimeters),,49.4882 in (inches),450 cd/m² (candela per square meter)
5,LG,24GM79G,,LG 24 inch Black FreeSync Gaming Monitor 24GM79G-B,pcpricetracker.in/gen/products/375f00ef75f9a068a11d90750661ddca,1920 x 1080 pixelsFull HD / 1080p,2018,24 in (inches),0.265 mm (millimeters),,48.4646 in (inches),
6,LG,24MK430H,,"LG 24MK430H-B - 24 Inch Gaming Monitor (AMD FreeSync, 5ms Response Time, FHD IPS Panel, HDMI, D-Sub)",pcpricetracker.in/gen/products/20f7f33122c47bf48bda14ee0c037942,3840 x 2160 pixelsUltra HD (UHD) / 4K / 2160p,2018,23.8 in (inches),0.275 mm (millimeters),,64.5276 in (inches),
7,LG,24MK600M,,"LG 24MK600M-W - 24 Inch Gaming Monitor (AMD FreeSync, 5ms Response Time, Frameless, FHD IPS Panel, HDMI, D-sub)",pcpricetracker.in/gen/products/147312ee719eca166121ebacfa75a447,3840 x 2160 pixelsUltra HD (UHD) / 4K / 2160p,2018,23.8 in (inches),0.315 mm (millimeters),,54.6457 in (inches),500 cd/m² (candela per square meter)
8,LG,24MP59G,,"LG 24MP59G - 24 Inch 99% sRGB Gaming Monitor (AMD FreeSync, 1ms Response Time, FHD IPS Panel, HDMI, D-sub, Display Port)",pcpricetracker.in/gen/products/74f3688fbd106aefce03c5f9542c1e7d,3840 x 2160 pixelsUltra HD (UHD) / 4K / 2160p,2018,23.8 in (inches),0.315 mm (millimeters),,54.6457 in (inches),200 cd/m² (candela per square meter)
9,LG,24MP88HV,,LG 24â€³ Virtually Borderless IPS Monitor 24MP88HV,pcpricetracker.in/gen/products/a9a9f76bebcfa26e30ad9a9f86d4b3bb,3840 x 2160 pixelsUltra HD (UHD) / 4K / 2160p,2018,23.8 in (inches),0.155 mm (millimeters),,26.9567 in (inches),550 cd/m² (candela per square meter)
