company,name,model,link_x_x,size,link_y_x,link_x_y,freq,link_y_y
Adata,Adata AD4U2400J4G17-R Desktop Ram Premier Series 4GB (4GBx1) DDR4 2400MHz,AD4U2400J4G17-R ,pcpricetracker.in/gen/products/67c35442a5ecfe63a4693d44762c110c,4GB ,pcpricetracker.in/gen/products/67c35442a5ecfe63a4693d44762c110c,pcpricetracker.in/gen/products/67c35442a5ecfe63a4693d44762c110c,2400MHz,pcpricetracker.in/gen/products/67c35442a5ecfe63a4693d44762c110c
Adata,ADATA XPG Flame Series 8GB (8GBx1) DDR4 2666MHz Laptop Memory AX4S266638G18-SBF,AX4S266638G18-SBF,pcpricetracker.in/gen/products/e699a393147d79857dfb2a8db0a1b904,8GB ,pcpricetracker.in/gen/products/e699a393147d79857dfb2a8db0a1b904,pcpricetracker.in/gen/products/e699a393147d79857dfb2a8db0a1b904,2666MHz ,pcpricetracker.in/gen/products/e699a393147d79857dfb2a8db0a1b904
Adata,Adata AX4U3000316G16A-DT60 Desktop Ram XPG Spectrix D60G Series 32GB (16GBX2) DDR4 3000MHz RGB,AX4U3000316G16A-DT60 ,pcpricetracker.in/gen/products/692114603bea4a1e05f4f4ae7281428f,32GB ,pcpricetracker.in/gen/products/692114603bea4a1e05f4f4ae7281428f,pcpricetracker.in/gen/products/692114603bea4a1e05f4f4ae7281428f,3000MHz ,pcpricetracker.in/gen/products/692114603bea4a1e05f4f4ae7281428f
Adata,Adata AX4U3000316G16A-SR30 Desktop Ram XPG Gammix D30 Series 16GB (16GBX1) DDR4 3000MHz Red,AX4U3000316G16A-SR30 ,pcpricetracker.in/gen/products/c403353da0618ec0795d6e7ada5f2525,16GB ,pcpricetracker.in/gen/products/c403353da0618ec0795d6e7ada5f2525,pcpricetracker.in/gen/products/c403353da0618ec0795d6e7ada5f2525,3000MHz ,pcpricetracker.in/gen/products/c403353da0618ec0795d6e7ada5f2525
Adata,Adata AX4U3000316G16A-ST60 Desktop Ram XPG Spectrix D60G Series 16GB (16GBx1) DDR4 3000MHz RGB,AX4U3000316G16A-ST60 ,pcpricetracker.in/gen/products/1396c5187f3d0a5a6d0b90dd53f770bd,16GB ,pcpricetracker.in/gen/products/1396c5187f3d0a5a6d0b90dd53f770bd,pcpricetracker.in/gen/products/1396c5187f3d0a5a6d0b90dd53f770bd,3000MHz ,pcpricetracker.in/gen/products/1396c5187f3d0a5a6d0b90dd53f770bd
Adata,ADATA XPG SPECTRIX D41 16GB (16GBX1) DDR4 RGB 3000MHZ RAM (AX4U3000316G16-SR41),AX4U3000316G16-SR41,pcpricetracker.in/gen/products/52ad085eaa34e23a0e3f1a9533635612,16GB ,pcpricetracker.in/gen/products/52ad085eaa34e23a0e3f1a9533635612,pcpricetracker.in/gen/products/52ad085eaa34e23a0e3f1a9533635612,3000MHZ ,pcpricetracker.in/gen/products/52ad085eaa34e23a0e3f1a9533635612
Adata,ADATA XPG SPECTRIX D50 Series 16GB (8GBx2) DDR4 3000MHz RGB,,pcpricetracker.in/gen/products/ebccf412b151f9a61e808d9ad937aff2,16GB ,pcpricetracker.in/gen/products/ebccf412b151f9a61e808d9ad937aff2,pcpricetracker.in/gen/products/ebccf412b151f9a61e808d9ad937aff2,3000MHz ,pcpricetracker.in/gen/products/ebccf412b151f9a61e808d9ad937aff2
Adata,Adata AX4U300038G16A-DT60 Desktop Ram XPG Spectrix D60G Series 16GB (8GBX2) DDR4 3000MHz RGB,AX4U300038G16A-DT60 ,pcpricetracker.in/gen/products/135cc9a017de39c5ee0f189786e6f099,16GB ,pcpricetracker.in/gen/products/135cc9a017de39c5ee0f189786e6f099,pcpricetracker.in/gen/products/135cc9a017de39c5ee0f189786e6f099,3000MHz ,pcpricetracker.in/gen/products/135cc9a017de39c5ee0f189786e6f099
Adata,ADATA XPG SPECTRIX D60G 16GB (8GBX2) RGB DDR4 3000MHz,AX4U300038G16A-DW60,pcpricetracker.in/gen/products/a32a8fc49634feeabb5a902d93406dda,16GB ,pcpricetracker.in/gen/products/a32a8fc49634feeabb5a902d93406dda,pcpricetracker.in/gen/products/a32a8fc49634feeabb5a902d93406dda,3000MHz,pcpricetracker.in/gen/products/a32a8fc49634feeabb5a902d93406dda
Adata,Adata AX4U300038G16A-SR30 Desktop Ram XPG Gammix D30 Series 8GB (8GBX1) DDR4 3000MHz Red,AX4U300038G16A-SR30 ,pcpricetracker.in/gen/products/93ce362c9110fa4f37400c9fd99c48e7,8GB ,pcpricetracker.in/gen/products/93ce362c9110fa4f37400c9fd99c48e7,pcpricetracker.in/gen/products/93ce362c9110fa4f37400c9fd99c48e7,3000MHz ,pcpricetracker.in/gen/products/93ce362c9110fa4f37400c9fd99c48e7
