company,name,model,size,freq
Adata,Adata AD4U2400J4G17-R Desktop Ram Premier Series 4GB (4GBx1) DDR4 2400MHz,AD4U2400J4G17-R ,4GB ,2400MHz
Adata,ADATA XPG Flame Series 8GB (8GBx1) DDR4 2666MHz Laptop Memory AX4S266638G18-SBF,AX4S266638G18-SBF,8GB ,2666MHz 
Adata,Adata AX4U3000316G16A-DT60 Desktop Ram XPG Spectrix D60G Series 32GB (16GBX2) DDR4 3000MHz RGB,AX4U3000316G16A-DT60 ,32GB ,3000MHz 
Adata,Adata AX4U3000316G16A-SR30 Desktop Ram XPG Gammix D30 Series 16GB (16GBX1) DDR4 3000MHz Red,AX4U3000316G16A-SR30 ,16GB ,3000MHz 
Adata,Adata AX4U3000316G16A-ST60 Desktop Ram XPG Spectrix D60G Series 16GB (16GBx1) DDR4 3000MHz RGB,AX4U3000316G16A-ST60 ,16GB ,3000MHz 
Adata,ADATA XPG SPECTRIX D41 16GB (16GBX1) DDR4 RGB 3000MHZ RAM (AX4U3000316G16-SR41),AX4U3000316G16-SR41,16GB ,3000MHZ 
Adata,ADATA XPG SPECTRIX D50 Series 16GB (8GBx2) DDR4 3000MHz RGB,,16GB ,3000MHz 
Adata,Adata AX4U300038G16A-DT60 Desktop Ram XPG Spectrix D60G Series 16GB (8GBX2) DDR4 3000MHz RGB,AX4U300038G16A-DT60 ,16GB ,3000MHz 
Adata,ADATA XPG SPECTRIX D60G 16GB (8GBX2) RGB DDR4 3000MHz,AX4U300038G16A-DW60,16GB ,3000MHz
Adata,Adata AX4U300038G16A-SR30 Desktop Ram XPG Gammix D30 Series 8GB (8GBX1) DDR4 3000MHz Red,AX4U300038G16A-SR30 ,8GB ,3000MHz 
Adata,Adata AX4U300038G16A-ST41 Desktop Ram XPG Spectrix D41 Series 8GB (8GBX1) DDR4 3000MHz RGB,AX4U300038G16A-ST41 ,8GB ,3000MHz 
Adata,ADATA XPG SPECTRIX D50 Series 8GB (8GBx1) DDR4 3000MHz RGB,,8GB ,3000MHz 
Adata,ADATA AX4U300038G16A-ST60 Desktop Ram XPG SPECTRIX D60G Series 8GB (8GBx1) DDR4 3000MHz RGB,AX4U300038G16A-ST60 ,8GB ,3000MHz 
Adata,ADATA XPG SPECTRIX D80 16GB (8GBX2) DDR4 3000MHZ RGB  LIQUID COOLING BLACK EDITION RAM (AX4U300038G16-DB80),AX4U300038G16-DB80,16GB ,3000MHZ 
Adata,ADATA XPG SPECTRIX D80 8GB (8GBX1) DDR4 3000MHZ RGB LIQUID COOLING BLACK EDITION RAM (AX4U300038G16-SB80),AX4U300038G16-SB80,8GB ,3000MHZ 
Adata,ADATA XPG SPECTRIX D41 8GB (8GBX1) DDR4 RGB 3000MHZ RAM (AX4U300038G16-SR41),AX4U300038G16-SR41,8GB ,3000MHZ 
Adata,ADATA AX4U3000716G16A-DT50 Desktop Ram XPG SPECTRIX D50 Series 32GB (16GBx2) DDR4 3000MHz RGB,AX4U3000716G16A-DT50 ,32GB ,3000MHz 
Adata,Adata AX4U3000716G16A-SR10 Desktop Ram XPG GAMMIX D10 Series 16GB (16GBx1) DDR4 3000MHz Red,AX4U3000716G16A-SR10 ,16GB ,3000MHz 
Adata,ADATA AX4U3000716G16A-SR30 Desktop Ram XPG Gammix D30 Series 16GB (16GBx1) DDR4 3000MHz Red,AX4U3000716G16A-SR30 ,16GB ,3000MHz 
Adata,ADATA XPG SPECTRIX D50 16GB (16GBX1) DDR4 RGB 3000MHz,,16GB ,3000MHz
Adata,ADATA XPG SPECTRIX D41 16GB (16GBX1) DDR4 RGB 3200MHZ,,16GB ,3200MHZ
Adata,Adata AX4U3200316G16A-ST60 Desktop Ram XPG Spectrix D60G Series 16GB (16GBx1) DDR4 3200MHz RGB,AX4U3200316G16A-ST60 ,16GB ,3200MHz 
Adata,ADATA AX4U3200316G16-DB30 Desktop Ram XPG GAMMIX D30 Series 32GB (16GBx2) DDR4 3200MHz Black,AX4U3200316G16-DB30 ,32GB ,3200MHz 
Adata,ADATA XPG GAMMIX D30 16GB (16GBX1) DDR4 3200MHZ RAM (AX4U3200316G16-SR30),AX4U3200316G16-SR30,16GB ,3200MHZ 
Adata,ADATA XPG SPECTRIX D41 16GB (16GBX1) DDR4 RGB 3200MHZ RAM (AX4U3200316G16-SR41),AX4U3200316G16-SR41,16GB ,3200MHZ 
Adata,ADATA AX4U320038G16A-DB80 Desktop Ram XPG SPECTRIX D80 Series 16GB (8GBx2) DDR4 3200MHz RGB Hybrid Liquid Air Cooling,AX4U320038G16A-DB80 ,16GB ,3200MHz 
Adata,ADATA AX4U320038G16A-DR30 Desktop Ram XPG GAMMIX D30 Series 16GB (8GBx2) DDR4 3200MHz Red,AX4U320038G16A-DR30 ,16GB ,3200MHz 
