company,name,model
LG,LG 18.5 INCH LED GAMING MONITOR (19M38AB),19M38AB
LG,"LG 19M38HB - 19 Inch Monitor (5ms Response Time, HD TN Panel, HDMI, D-sub)",19M38HB
LG,"LG 20M39H - 20 Inch Monitor (5ms Response Time, HD TN Panel, HDMI, D-sub)",20M39H
LG,"LG 22MK600M - 22 Inch Gaming Monitor (AMD FreeSync, 5ms Response Time, Frameless, FHD IPS Panel, HDMI, D-Sub)",22MK600M
LG,"LG 22MP68VQ-P - 22 Inch Gaming Monitor (AMD FreeSync, 5ms Response Time, FHD IPS Panel, DVI, HDMI,  D-sub)",22MP68VQ
LG,LG 24inch 24BK750Y-B Full HD IPS Monitor Workstation Monitor,24BK750Y-B
LG,"LG UltraGear 24GL600F-B - 24 Inch Gaming Monitor (AMD FreeSync, 1ms Responce Time, 144Hz Refresh Rate, FHD TN Panel, HDMI, Displayport)",24GL600F-B
LG,LG 24 inch Black FreeSync Gaming Monitor 24GM79G-B,24GM79G-B
LG,"LG 24MK430H-B - 24 Inch Gaming Monitor (AMD FreeSync, 5ms Response Time, FHD IPS Panel, HDMI, D-Sub)",24MK430H-B
LG,"LG 24MK600M-W - 24 Inch Gaming Monitor (AMD FreeSync, 5ms Response Time, Frameless, FHD IPS Panel, HDMI, D-sub)",24MK600M
LG,"LG 24MP59G - 24 Inch 99% sRGB Gaming Monitor (AMD FreeSync, 1ms Response Time, FHD IPS Panel, HDMI, D-sub, Display Port)",24MP59G
LG,"LG 24 inch Gaming Monitor - 1ms, 75Hz,Full HD, IPS Panel with VGA, HDMI, Display Port, Heaphone Ports - 24MP59G (Black)",24MP59G
LG,LG 24 Virtually Borderless IPS Monitor 24MP88HV,24MP88HV
LG,"LG 24MP88HV-S - 24 Inch 99% sRGB Monitor (Frameless, FHD IPS Panel, HDMI, D-sub, Speakers)",24MP88HV
LG,"LG 24UD58 - 24 Inch Gaming Monitor (AMD FreeSync, 5ms Response Time, 4K UHD IPS Panel, HDMI, DisplayPort)",24UD58
LG,LG 24UD58-B New-4K Monitor,24UD58-B
