ID,Category,Name,Details,URL
1,monitor,LG 18.5 INCH LED GAMING MONITOR (19M38AB),LG 18.5 INCH LED GAMING MONITOR (19M38AB),pcpricetracker.in/gen/products/9df171364c0207326c17c2e6c50cdaf1
2,monitor,"LG 19M38HB - 19 Inch Monitor (5ms Response Time, HD TN Panel, HDMI, D-sub)","LG 19M38HB - 19 Inch Monitor (5ms Response Time, HD TN Panel, HDMI, D-sub)",pcpricetracker.in/gen/products/2dfc4313723fedcf438aef7675726ec6
3,monitor,"HP 24y - 24 Inch Monitor (8ms Response Time, FHD IPS Panel, DVI-D, HDMI, VGA)","HP 24y - 24 Inch Monitor (8ms Response Time, FHD IPS Panel, DVI-D, HDMI, VGA)",pcpricetracker.in/gen/products/ca7e515bddb2814bc9a9700eef62032c
4,monitor,"LG 20M39H - 20 Inch Monitor (5ms Response Time, HD TN Panel, HDMI, D-sub)","LG 20M39H - 20 Inch Monitor (5ms Response Time, HD TN Panel, HDMI, D-sub)",pcpricetracker.in/gen/products/4f6d1c430918b5c1c1ca20dc3997add9
5,monitor,"LG 22MK600M - 22 Inch Gaming Monitor (AMD FreeSync, 5ms Response Time, Frameless, FHD IPS Panel, HDMI, D-Sub)","LG 22MK600M - 22 Inch Gaming Monitor (AMD FreeSync, 5ms Response Time, Frameless, FHD IPS Panel, HDMI, D-Sub)",pcpricetracker.in/gen/products/08d5b9dbb025960103535c3ec56ba73d
6,monitor,"LG 22MP68VQ-P - 22 Inch Gaming Monitor (AMD FreeSync, 5ms Response Time, FHD IPS Panel, DVI, HDMI,  D-sub)","LG 22MP68VQ-P - 22 Inch Gaming Monitor (AMD FreeSync, 5ms Response Time, FHD IPS Panel, DVI, HDMI,  D-sub) @ 22MP68VQ-P",pcpricetracker.in/gen/products/bf76cfaae4109f1871251dacedbef24a
7,monitor,LG 24inch 24BK750Y-B Full HD IPS Monitor Workstation Monitor,LG 24inch 24BK750Y-B Full HD IPS Monitor Workstation Monitor,pcpricetracker.in/gen/products/58183c0b743226fd09a4072bd999c19e
8,monitor,"LG UltraGear 24GL600F-B - 24 Inch Gaming Monitor (AMD FreeSync, 1ms Responce Time, 144Hz Refresh Rate, FHD TN Panel, HDMI, Displayport)","LG UltraGear 24GL600F-B - 24 Inch Gaming Monitor (AMD FreeSync, 1ms Responce Time, 144Hz Refresh Rate, FHD TN Panel, HDMI, Displayport) @ 24GL600F-B",pcpricetracker.in/gen/products/1b7d0597eea0cf69b69454597de550d3
9,monitor,LG 24 inch Black FreeSync Gaming Monitor 24GM79G-B,LG 24 inch Black FreeSync Gaming Monitor 24GM79G-B,pcpricetracker.in/gen/products/375f00ef75f9a068a11d90750661ddca
10,monitor,"LG 24MK430H-B - 24 Inch Gaming Monitor (AMD FreeSync, 5ms Response Time, FHD IPS Panel, HDMI, D-Sub)","LG 24MK430H-B - 24 Inch Gaming Monitor (AMD FreeSync, 5ms Response Time, FHD IPS Panel, HDMI, D-Sub)",pcpricetracker.in/gen/products/20f7f33122c47bf48bda14ee0c037942
11,monitor,"LG 24MK600M-W - 24 Inch Gaming Monitor (AMD FreeSync, 5ms Response Time, Frameless, FHD IPS Panel, HDMI, D-sub)","LG 24MK600M-W - 24 Inch Gaming Monitor (AMD FreeSync, 5ms Response Time, Frameless, FHD IPS Panel, HDMI, D-sub)",pcpricetracker.in/gen/products/147312ee719eca166121ebacfa75a447
12,monitor,"LG 24MP59G - 24 Inch 99% sRGB Gaming Monitor (AMD FreeSync, 1ms Response Time, FHD IPS Panel, HDMI, D-sub, Display Port)","LG 24MP59G - 24 Inch 99% sRGB Gaming Monitor (AMD FreeSync, 1ms Response Time, FHD IPS Panel, HDMI, D-sub, Display Port)",pcpricetracker.in/gen/products/74f3688fbd106aefce03c5f9542c1e7d
13,monitor,"LG 24 inch Gaming Monitor - 1ms, 75Hz,Full HD, IPS Panel with VGA, HDMI, Display Port, Heaphone Ports - 24MP59G (Black)","LG 24 inch Gaming Monitor - 1ms, 75Hz,Full HD, IPS Panel with VGA, HDMI, Display Port, Heaphone Ports - 24MP59G (Black)",pcpricetracker.in/gen/products/40c61fb6c46cd531024cac8a7ec70783
14,monitor,LG 24â€³ Virtually Borderless IPS Monitor 24MP88HV,LG 24â€³ Virtually Borderless IPS Monitor 24MP88HV,pcpricetracker.in/gen/products/a9a9f76bebcfa26e30ad9a9f86d4b3bb
15,monitor,"LG 24MP88HV-S - 24 Inch 99% sRGB Monitor (Frameless, FHD IPS Panel, HDMI, D-sub, Speakers)","LG 24MP88HV-S - 24 Inch 99% sRGB Monitor (Frameless, FHD IPS Panel, HDMI, D-sub, Speakers)",pcpricetracker.in/gen/products/a51cadc5dbae3280c3ddbcebbeb5ba60
